period_days,planet_radius_earth,target_stars,mean_transit_geometry,mean_phase_window,mean_pipeline_including_window,mean_vetting_given_recovered,mean_pipeline_and_vetting,mean_total_selection,effective_stars,fraction_impact_target_evaluations_below_mes_training,fraction_impact_target_evaluations_above_mes_training,label
353.972892192,0.707106781187,114105,0.00449563204088,0.781185292645,0.000462239966423,0.0300260900448,0.000341793830116,1.36904513928e-06,0.156214895617,6.67433113044e-05,0,MODEL-INFERRED
397.164117362,0.707106781187,114105,0.00416348902784,0.689755418902,0.000345676549431,0.0236255277015,0.000247341810145,9.11199928866e-07,0.103972467883,7.02743387526e-05,0,MODEL-INFERRED
445.625469067,0.707106781187,114105,0.00385588516304,0.586629428192,0.000254257333736,0.0182992909571,0.000174719140196,5.91831951614e-07,0.0675309848389,7.276716943e-05,0,MODEL-INFERRED
500,0.707106781187,114105,0.003571007463,0.467805678071,0.000183066034325,0.0139365267675,0.000119520184886,3.7210561969e-07,0.0424591117347,8.42710270049e-05,0,MODEL-INFERRED
50,0.771105412704,114105,0.016575148365,0.980213829473,0.0204880938414,0.252719217042,0.0177685238111,0.000285852123183,32.6171565158,2.9406163863e-05,4.77667538352e-05,MODEL-INFERRED
56.1009227151,0.771105412704,114105,0.0153505553224,0.977072046797,0.0186659850358,0.249555285479,0.0162458788954,0.00024121739042,27.5241103339,2.9406163863e-05,4.21384095713e-05,MODEL-INFERRED
62.9462705897,0.771105412704,114105,0.0142164367712,0.971480327749,0.0168228842742,0.24420299578,0.0146760618467,0.000201104507637,22.9470298439,2.9406163863e-05,3.50554314009e-05,MODEL-INFERRED
70.6268772311,0.771105412704,114105,0.0131661083411,0.964097511939,0.0149894335233,0.236634487786,0.0130905897062,0.000165549511034,18.8900269565,2.9406163863e-05,2.17014260576e-05,MODEL-INFERRED
79.2446596231,0.771105412704,114105,0.0121933795112,0.955269097857,0.013201299562,0.226993068048,0.0115265497115,0.000134544982849,15.352255268,3.25207541753e-05,8.34742071436e-06,MODEL-INFERRED
88.9139705019,0.771105412704,114105,0.0112925171245,0.946455578881,0.0114945442549,0.215666888907,0.010022876876,0.00010799702013,12.322999982,3.25207541753e-05,4.17371035718e-06,MODEL-INFERRED
99.7631157484,0.771105412704,114105,0.0104582115968,0.941663514956,0.00989700024032,0.202827003539,0.00860849155696,8.5632359886e-05,9.77108042479,3.56562677617e-05,0,MODEL-INFERRED
111.936056928,0.771105412704,114105,0.00968554562249,0.937980127602,0.00842766572544,0.188776928645,0.00730355762658,6.70743998859e-05,7.65352439898,3.56562677617e-05,0,MODEL-INFERRED
125.594321575,0.771105412704,114105,0.00896996519314,0.935844124974,0.00709963020544,0.172526775869,0.00611175484039,5.18174343522e-05,5.91262834676,3.56562677617e-05,0,MODEL-INFERRED
140.919146563,0.771105412704,114105,0.00830725275603,0.933272582355,0.00591790435661,0.156086627029,0.00505485894396,3.95596345593e-05,4.51395210139,3.56562677617e-05,0,MODEL-INFERRED
